1.12473;13.7403;0.534247;-2.02677;0.037;0.130039;13.6376;0.527364;2.59013
1.79799;13.0009;0.537172;2.19971;0.094;1.12473;13.7403;0.534247;-2.02677
2.2471;12.1077;0.518874;0.724059;0.094;1.79799;13.0009;0.537172;2.19971
-1.46092;14.3241;0.527339;0.717669;0;-0.4676;14.4394;0.525602;2.44202
-2.28601;13.7591;0.523436;0.593128;0.015;-1.46092;14.3241;0.527339;0.717669
1.89479;14.3781;0.518967;2.33081;0.037;1.12473;13.7403;0.534247;-2.02677
2.53586;12.5822;0.680587;-1.71777;0.185;2.2471;12.1077;0.518874;0.724059
1.88594;13.0081;0.323568;2.77443;0.094;1.79799;13.0009;0.537172;2.19971
1.34207;11.6934;0.422402;1.03684;0.094;2.2471;12.1077;0.518874;0.724059
-1.67291;15.3013;0.537048;3.00256;1.206;-1.46092;14.3241;0.527339;0.717669
