0;0;0
44.532;0.196;638.976
48.868;0.132;647.168
50.096;0.112;651.264
51.312;0.116;655.36
53.064;0.352;667.648
54.356;0.18;692.224
56.736;0.18;704.512
60.416;0.18;729.088
63.108;0.18;733.184
65.504;0.172;761.856
69.096;0.192;778.24
70.776;0.58;802.816
72.34;0.164;806.912
74.516;0.164;806.912
78.104;0.188;806.912
81.652;0.548;868.352
84.588;0.416;868.352
88.82;0.424;868.352
90.52;0.356;868.352
91.96;0.336;868.352
95.272;0.292;868.352
96.616;0.244;868.352
98.212;0.196;868.352
99.504;0.16;868.352
101.444;0.04;868.352
105.804;0.152;872.448
107.064;0.16;872.448
111.008;0.144;872.448
114.14;1.228;937.984
115.916;0.252;946.176
119.664;0.24;946.176
121.56;0.196;946.176
122.952;0.184;946.176
125.928;0.16;946.176
128.812;0.18;962.56
130.12;0.2;970.752
132.708;0.184;978.944
135.52;0.86;983.04
137.104;0.384;991.232
141.708;0.376;1007.62
145.164;0.336;1007.62
148.304;0.292;1007.62
149.652;0.244;1007.62
152.984;0.22;1007.62
154.292;0.2;1007.62
157.78;0.184;1019.9
160.168;0.164;1024
162.052;0.184;1024
166.284;0.616;1028.1
168.24;0.352;1032.19
171.352;0.312;1032.19
173.98;0.3;1032.19
176.06;0.28;1032.19
177.288;0.224;1032.19
178.588;0.2;1032.19
179.892;0.204;1032.19
183.768;0.176;1032.19
186.752;0.176;1036.29
189.456;0.2;1044.48
191.44;0.184;1044.48
193.188;0.524;1044.48
194.652;0.364;1056.77
197.704;0.852;1146.88
199.132;0.428;1146.88
202.324;1.156;1159.17
203.448;0.108;1159.17
205.596;0.1;1159.17
207.92;0.108;1159.17
211.864;1.22;1159.17
215.08;0.564;1175.55
216.624;0.544;1175.55
218.26;0.536;1175.55
221.24;0.476;1175.55
223.612;0.444;1179.65
227.14;0.428;1183.74
228.572;0.392;1183.74
232.512;0.336;1183.74
236.116;0.288;1183.74
238.292;0.272;1183.74
242.136;0.236;1191.94
243.44;0.204;1191.94
247.544;0.188;1196.03
251.528;0.184;1200.13
255.716;0.188;1200.13
257.86;0.144;1200.13
260.668;0.488;1200.13
268.076;3.704;1269.76
271.328;0.124;1269.76
273.06;0.132;1269.76
274.82;0.152;1269.76
277.788;0.128;1269.76
279.996;0.16;1269.76
282.508;0.176;1269.76
285.012;0.304;1273.86
286.152;0.136;1273.86
288.7;0.148;1273.86
292.04;0.136;1286.14
294.852;0.912;1339.39
296.12;0.112;1339.39
297.34;0.12;1339.39
300.38;0.14;1343.49
303.5;0.12;1343.49
304.744;0.144;1343.49
309.912;1.964;1355.78
311.228;0.116;1396.74
313.532;0.096;1409.02
316.284;1.6;1409.02
318.048;0.652;1413.12
321.264;0.604;1413.12
324.188;0.62;1413.12
325.844;0.556;1413.12
327.52;0.576;1413.12
330.988;0.564;1413.12
332.588;0.496;1413.12
336.1;0.508;1413.12
337.668;0.468;1413.12
341.616;0.544;1413.12
344.496;0.276;1421.31
348.476;0.272;1421.31
349.812;0.236;1421.31
352.82;0.204;1421.31
354.04;0.192;1421.31
355.36;0.18;1421.31
357.66;0.144;1421.31
359.292;0.124;1421.31
360.82;0.112;1421.31
362.036;0.116;1421.31
366.268;0.1;1421.31
369.168;0.1;1429.5
373.476;0.108;1429.5
374.972;0.088;1486.85
379.264;3.292;1548.29
381.832;1.456;1548.29
384.892;0.36;1548.29
387.952;0.356;1548.29
389.384;0.332;1548.29
392.196;0.312;1548.29
396.244;0.248;1548.29
397.612;0.264;1548.29
398.932;0.22;1548.29
401.448;0.216;1548.29
403.732;0.184;1548.29
405.796;0.16;1548.29
409.02;0.124;1548.29
413.044;0.12;1548.29
416.544;0.092;1548.29
417.856;0.108;1548.29
421.264;0.104;1548.29
422.464;0.1;1548.29
424.984;0.108;1548.29
428.516;0.328;1548.29
432.112;1.288;1548.29
436.084;0.364;1548.29
439.856;0.468;1548.29
442.188;0.128;1548.29
443.3;0.108;1548.29
444.812;0.108;1548.29
446.552;0.136;1548.29
449.968;0.112;1548.29
453.976;0.108;1548.29
455.204;0.128;1548.29
457.304;0.1;1548.29
462.068;1.056;1548.29
464.032;0.364;1548.29
466.108;0.272;1548.29
470.54;0.332;1548.29
474.04;0.3;1548.29
477.32;0.28;1548.29
478.096;0.272;1548.29
480.544;0.248;1548.29
483.672;0.228;1548.29
484.976;0.2;1548.29
487.36;0.184;1548.29
491.52;0.152;1548.29
493.652;0.132;1548.29
494.868;0.116;1548.29
496.068;0.1;1548.29
497.576;0.108;1548.29
501.576;0.1;1548.29
504.488;0.112;1548.29
508.496;0.1;1548.29
512.612;1.308;1548.29
513.836;0.124;1548.29
519.304;4.064;1548.29
522.488;0.484;1548.29
526.868;0.476;1548.29
531.408;0.432;1548.29
534.896;0.288;1548.29
537;0.404;1548.29
538.484;0.38;1548.29
540.216;0.332;1548.29
543.328;0.312;1548.29
545.52;0.288;1548.29
549.696;0.272;1548.29
550.844;0.248;1548.29
552.664;0.22;1548.29
556.676;0.2;1548.29
558.568;0.188;1548.29
562.932;0.16;1548.29
565.984;0.144;1548.29
567.8;0.116;1548.29
569.1;0.1;1548.29
571.72;0.112;1548.29
574.912;0.092;1548.29
576.816;0.104;1548.29
578.028;0.108;1548.29
