10.5999;8.0952;0.581925;0;0;1;0;11.5912;7.96477;0.566577;-0.501139
10.0651;8.93627;0.500415;0;0;2;0;10.5999;8.0952;0.581925;0
10.2231;9.91938;0.408051;0;0;3;0;10.0651;8.93627;0.500415;0
12.5798;7.99177;0.418264;0;0;1;0;11.5912;7.96477;0.566577;-0.501139
11.0902;10.4175;0.408444;0;0;4;0;10.2231;9.91938;0.408051;0
9.82152;10.8351;0.424115;0;0;4;0;10.2231;9.91938;0.408051;0
12.021;10.777;0.473597;0;0;5;0;11.0902;10.4175;0.408444;0
11.9971;11.7669;0.613502;0;0;6;0;12.021;10.777;0.473597;0
11.6843;10.7159;0.625937;0;0;5.3746;0;12.021;10.777;0.473597;0
10.5298;9.5987;0.529632;0;0;3.4601;0;10.2231;9.91938;0.408051;0
13.5505;8.22976;0.385982;0.610865;9.352;2;4.676;12.5798;7.99177;0.418264;0
