14.368;0;0
35.752;0.072;290.816
41.912;0.16;389.12
43.708;0.096;413.696
45.26;0.152;413.696
47.064;0.104;430.08
51.26;0.088;438.272
54.944;0.084;454.656
56.756;0.112;487.424
58.568;0.112;491.52
60.388;0.12;507.904
62.216;0.124;528.384
64.008;0.092;536.576
66.492;0.084;577.536
69.356;0.064;626.688
71.364;0.108;659.456
73.756;0.092;679.936
75.54;0.084;708.608
77.312;0.072;749.568
79.084;0.072;782.336
81.596;0.112;856.064
83.628;0.132;876.544
85.444;0.116;897.024
87.3;0.156;937.984
92.48;0.08;954.368
94.312;0.132;962.56
96.568;0.156;978.944
98.424;0.156;1003.52
100.236;0.112;1028.1
102.532;0.092;1064.96
104.344;0.108;1085.44
106.676;0.132;1097.73
108.708;0.128;1122.3
110.996;0.088;1142.78
112.836;0.14;1183.74
114.6;0.064;1191.94
116.376;0.076;1220.61
118.916;0.124;1228.8
121.116;0.2;1245.18
122.944;0.128;1277.95
124.74;0.096;1277.95
126.568;0.128;1310.72
128.364;0.096;1323.01
130.128;0.064;1331.2
131.932;0.104;1372.16
133.744;0.108;1388.54
136.132;0.188;1400.83
137.94;0.108;1425.41
139.66;0.02;1425.41
141.452;0.092;1445.89
143.224;0.072;1462.27
145.056;0.132;1470.46
147.096;0.12;1507.33
149.404;0.008;1515.52
151.168;0.064;1536
153.012;0.132;1548.29
155.832;0.12;1609.73
157.688;0.148;1646.59
159.464;0.076;1662.98
161.952;0.088;1708.03
164.424;0.072;1732.61
166.608;0.084;1748.99
168.8;0.08;1773.57
171.312;0.112;1798.14
173.908;0.088;1851.39
178.024;0.116;1859.58
181.56;0.228;1859.58
183.924;0.16;1888.26
186.3;0.076;1908.74
188.752;0.152;1929.22
190.556;0.004;1945.6
192.34;0.084;1961.98
194.212;0.164;1994.75
196.068;0.156;2007.04
197.88;0.096;2007.04
200.868;0.088;2019.33
