9.99041e-05;6.14554e-05;0.00737693;0
0.000360583;0.000278282;0.0167344;-0.035034
0.000880741;0.00037164;0.0278371;-0.038006
0.00137299;0.000489389;0.0349215;-0.0397843
0.00239546;0.000600228;0.045619;-0.0427587
0.00374912;0.000679691;0.0573998;-0.0448616
0.00522225;0.00072863;0.0669455;-0.0462572
0.00751234;0.000676905;0.083828;-0.0474202
0.00873317;0.000642033;0.0924935;-0.0479511
0.0115738;0.000861639;0.109408;-0.0496779
0.0129648;0.00107752;0.115706;-0.0504762
0.0153445;0.00162404;0.124425;-0.0516969
0.0176606;0.00214086;0.130842;-0.0526839
0.0195342;0.00252723;0.134116;-0.0532967
0.0230426;0.00314874;0.139949;-0.0543118
0.0482858;0.0104325;0.168136;-0.0591882
0.0491933;0.0107635;0.169379;-0.0592687
0.0500486;0.0110971;0.170633;-0.0593983
0.0510328;0.0114748;0.172321;-0.0596113
0.0517751;0.0117318;0.173379;-0.0596604
0.0524507;0.0119853;0.174073;-0.0598424
0.0530881;0.0122588;0.174824;-0.0600301
0.0536244;0.0124989;0.175274;-0.0601668
0.054141;0.0127173;0.175626;-0.0603517
0.0546867;0.01297;0.175894;-0.0605578
0.0550325;0.0131616;0.176318;-0.0607243
0.0553247;0.0133463;0.176598;-0.0608499
0.0555353;0.0134839;0.176656;-0.0609828
0.0558471;0.0139092;0.176556;-0.0613718
0.0552397;0.0143564;0.174045;-0.0620823
0.0532437;0.0147166;0.168405;-0.0626722
0.0520066;0.014667;0.166272;-0.0628618
0.0515394;0.0146187;0.165658;-0.0629997
0.0498784;0.0147895;0.162606;-0.0632861
0.050585;0.0151041;0.161481;-0.0634794
0.0550129;0.0168245;0.158504;-0.0640079
0.0633831;0.0199461;0.154879;-0.0647989
0.0658408;0.0208903;0.154078;-0.0650715
0.0785419;0.0271958;0.161904;-0.0624529
0.0805717;0.0287277;0.166714;-0.0590713
0.0835442;0.0339121;0.206546;-0.0374439
0.078986;0.0324932;0.230772;-0.028638
0;0;0.264256;-0.018178
0;0;0.254756;-0.00707646
0;0;0.192476;-0.00171821
-0.103268;-0.0483433;0.141351;0.00384376
-0.10168;-0.0481663;0.135868;0.00364617
-0.101694;-0.0477174;0.249382;0.00587471
-0.103087;-0.0479554;0.271278;0.00637968
-0.107341;-0.049994;0.324833;0.00882116
-0.107831;-0.0506085;0.338817;0.00908953
-0.110987;-0.054214;0.403513;0.0104104
-0.112603;-0.0558286;0.424195;0.0108258
-0.113779;-0.0571117;0.439863;0.0111399
-0.124245;-0.0657049;0.559708;0.0119927
-0.141044;-0.0771166;0.733867;0.0214471
-0.157958;-0.0866863;0.812976;0.0501708
