6.29098;-35.9953;-1.06537;0;0;0.5;0;5.98825;-36.902;-1.35895;1.99465
5.79588;-37.8808;-1.28826;0;0;0.5;0;5.98825;-36.902;-1.35895;1.99465
6.34097;-38.7168;-1.22554;0;0;1;0;5.79588;-37.8808;-1.28826;0
6.54781;-35.2002;-0.515977;0;0;1;0;6.29098;-35.9953;-1.06537;0
6.49581;-35.4829;-1.04344;1.74533;0.135;1.74533;0.0773493;6.29098;-35.9953;-1.06537;0
6.38893;-34.2131;-0.495757;0;0;1.5;0;6.54781;-35.2002;-0.515977;0
6.68938;-39.518;-0.73904;0;0;1.5;0;6.34097;-38.7168;-1.22554;0
7.21577;-40.247;-1.17674;0;0;2;0;6.68938;-39.518;-0.73904;0
7.93616;-39.5875;-0.961833;0;0;2.5;0;7.21577;-40.247;-1.17674;0
6.89076;-37.3321;-1.38151;0;0;0.5;0;5.98825;-36.902;-1.35895;1.99465
7.25575;-34.1989;0.00265846;0;0;2;0;6.38893;-34.2131;-0.495757;0
5.795;-33.4089;-0.471346;1.91986;0.162;2;0.081;6.38893;-34.2131;-0.495757;0
5.87534;-40.0347;-1.00431;0;0;2;0;6.68938;-39.518;-0.73904;0
6.22779;-36.5553;-1.19513;1.74533;0.189;0.226063;0.83605;5.98825;-36.902;-1.35895;1.99465
